0 0 BUSHES
0 1 BUSHES
0 2 BUSHES
0 3 BUSHES
0 4 BUSHES
0 5 BUSHES
0 6 BUSHES
0 7 BUSHES
0 8 BUSHES
0 9 BUSHES
0 10 BUSHES
0 11 BUSHES
0 12 BUSHES
0 13 BUSHES
0 14 BUSHES
0 15 BUSHES
0 16 BUSHES
0 17 BUSHES
0 18 BUSHES
0 19 BUSHES
0 20 BUSHES
0 21 BUSHES
1 0 BUSHES
2 0 BUSHES
3 0 BUSHES
4 0 BUSHES
5 0 BUSHES
6 0 BUSHES
7 0 BUSHES
8 0 BUSHES
9 0 BUSHES
10 0 BUSHES
11 0 BUSHES
12 0 BUSHES
13 0 BUSHES
1 21 BUSHES
2 21 BUSHES
3 21 BUSHES
4 21 BUSHES
5 21 BUSHES
6 21 BUSHES
7 21 BUSHES
8 21 BUSHES
9 21 BUSHES
10 21 BUSHES
11 21 BUSHES
12 21 BUSHES
13 21 BUSHES
14 0 BUSHES
14 1 BUSHES
14 2 BUSHES
14 3 BUSHES
14 4 BUSHES
14 5 BUSHES
14 6 BUSHES
14 7 BUSHES
14 8 BUSHES
14 9 BUSHES
14 10 BUSHES
14 11 BUSHES
14 12 BUSHES
14 13 BUSHES
14 14 BUSHES
14 15 BUSHES
14 16 BUSHES
14 17 BUSHES
14 18 BUSHES
14 19 BUSHES
14 20 BUSHES
14 21 BUSHES
